Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Shuffle 2","Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Shuffle 2",Procedure*Settings,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
jadbogavd,x97zbpd42k,Collector,1,1,2021-02-16T21:50:39+00:00,11.672417879105,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,,0,Instruct,-,10,"In this study, you will be asked to watch a series of short videos (approximately 5 seconds each). Each video will show a first-person perspective of an actor performing various actions. Please focus on the movement of the image because you will be asked to determine what the person is doing.",Initial_Instruct,Instruct1,,,11391,,,-1,-1,,,,1
jadbogavd,x97zbpd42k,Collector,1,2,2021-02-16T21:50:49+00:00,9.9839749336243,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,,0,Instruct,-,8,"After each video you will be presented with a text box to type your answer. Please be as specific as possible but do not answer in more than TWO words.",,Instruct14,,,9641,,,-1,-1,,,,1
jadbogavd,x97zbpd42k,Collector,1,3,2021-02-16T21:50:58+00:00,9.5714311599731,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,,0,Instruct,User,-,"When you are ready to view the first video, please Press Next. Note that the videos will play as soon as you move to the next screen. You will be automatically advanced to the next screen upon conclusion of the video. You will not be able to replay the videos.",,Instruct16,,,9233,,,-1,-1,,,,1
jadbogavd,x97zbpd42k,Collector,1,4,2021-02-16T21:51:06+00:00,7.4062778949738,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,OFF,,,1,2,Video,7,,,,OFF,1,,7005,,,-1,-1,,,,1
jadbogavd,x97zbpd42k,Collector,1,5,2021-02-16T21:51:11+00:00,5.1661500930786,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,OFF,,,1,2,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,4855,"Jumo ",54.545454545455,1381,1898,0,0,,1
jadbogavd,x97zbpd42k,Collector,1,6,2021-02-16T21:51:18+00:00,7.3865079879761,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",OFF,,,2,3,Video,7,,,,OFF,2,,7005,,,-1,-1,,,,1
jadbogavd,x97zbpd42k,Collector,1,7,2021-02-16T21:51:26+00:00,8.0039639472961,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",OFF,,,2,3,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,7742,"Jump jacks",86.95652173913,1304,5301,0,1,,1
jadbogavd,x97zbpd42k,Collector,1,8,2021-02-16T21:51:34+00:00,7.3522210121155,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,OFF,,,3,4,Video,7,,,,OFF,3,,7006,,,-1,-1,,,,1
jadbogavd,x97zbpd42k,Collector,1,9,2021-02-16T21:51:39+00:00,4.8848888874054,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,OFF,,,3,4,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,3,,4582,"Sit ",60,1265,1569,0,0,,1
jadbogavd,x97zbpd42k,Collector,1,10,2021-02-16T21:51:46+00:00,7.3592090606689,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,OFF,,,4,5,Video,7,,,,OFF,4,,7009,,,-1,-1,,,,1
