Username,ID,Trial,Question,Type,RT,Response
93q84659q837,gpv7364cfr,1,"Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!",Radio,7953,Smooth
93q84659q837,gpv7364cfr,2,"Have you participated in this experiment (or another experiment using the same learning materials) before?",Radio,6902,Naive
93q84659q837,gpv7364cfr,3,"How much fun was this experiment? <p>1 being very fun -- 7 being the MOST FUN EVER</p>",Likert,3301,5
93q84659q837,gpv7364cfr,4,"Were you doing anything else while this experiment was going on? You will get credit no matter how you respond here.",Text,5490,no
93q84659q837,gpv7364cfr,5,"Which of the following problems did you have?",Checkbox,4384,none
Testing3,a12f6jtywi,1,"Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!",Radio,8643,Smooth
Testing3,a12f6jtywi,2,"Have you participated in this experiment (or another experiment using the same learning materials) before?",Radio,26774,Naive
Testing3,a12f6jtywi,3,"How much fun was this experiment? <p>1 being very fun -- 7 being the MOST FUN EVER</p>",Likert,5089,7
Testing3,a12f6jtywi,4,"Were you doing anything else while this experiment was going on? You will get credit no matter how you respond here.",Text,6538,nope
Testing3,a12f6jtywi,5,"Which of the following problems did you have?",Checkbox,6318,"internet connectivity problems"
Testing3,a12f6jtywi,5,"Which of the following problems did you have?",Checkbox,6318,none
test,w6j6v6416o,1,"Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!",Radio,5779,Smooth
test,w6j6v6416o,2,"Have you participated in this experiment (or another experiment using the same learning materials) before?",Radio,6174,Naive
test,w6j6v6416o,3,"How much fun was this experiment? <p>1 being very fun -- 7 being the MOST FUN EVER</p>",Likert,3704,7
test,w6j6v6416o,4,"Were you doing anything else while this experiment was going on? You will get credit no matter how you respond here.",Text,4331,nope
test,w6j6v6416o,5,"Which of the following problems did you have?",Checkbox,4206,none
W785427,0dal1uzq8e,1,"Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!",Radio,11397,MinorBumps
W785427,0dal1uzq8e,2,"Have you participated in this experiment (or another experiment using the same learning materials) before?",Radio,7051,Naive
W785427,0dal1uzq8e,3,"How much fun was this experiment? <p>1 being very fun -- 7 being the MOST FUN EVER</p>",Likert,14739,6
W785427,0dal1uzq8e,4,"Were you doing anything else while this experiment was going on? You will get credit no matter how you respond here.",Text,12071,no
W785427,0dal1uzq8e,5,"Which of the following problems did you have?",Checkbox,21178,"blank page"
10063255,pvk4etu7ki,1,"Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!",Radio,11744,Smooth
10063255,pvk4etu7ki,2,"Have you participated in this experiment (or another experiment using the same learning materials) before?",Radio,5827,Naive
10063255,pvk4etu7ki,3,"How much fun was this experiment? <p>1 being very fun -- 7 being the MOST FUN EVER</p>",Likert,4751,7
10063255,pvk4etu7ki,4,"Were you doing anything else while this experiment was going on? You will get credit no matter how you respond here.",Text,6501,no
10063255,pvk4etu7ki,5,"Which of the following problems did you have?",Checkbox,10166,none
