Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Shuffle 2",Procedure*Settings,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
10063255,pvk4etu7ki,"Detecting Actions_1",1,1,2021-03-02T03:12:09+00:00,14.348740100861,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,-,10,"In this study, you will be asked to watch a series of short videos (approximately 5 seconds each). Each video will show a first-person perspective of an actor performing various actions. Please focus on the movement of the image because you will be asked to determine what the person is doing.",Initial_Instruct,Instruct1,,,13554,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,2,2021-03-02T03:12:19+00:00,10.23720407486,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,-,8,"After each video you will be presented with a text box to type your answer. Please be as specific as possible but do not answer in more than TWO words.",,Instruct14,,,9855,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,3,2021-03-02T03:12:33+00:00,13.434314966202,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,User,-,"When you are ready to view the first video, please Press Next. Note that the videos will play as soon as you move to the next screen. You will be automatically advanced to the next screen upon conclusion of the video. You will not be able to replay the videos.",,Instruct16,,,13067,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,4,2021-03-02T03:12:40+00:00,7.6104860305786,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block1,,3,2,Video,7,,,,OFF,1,,7002,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,5,2021-03-02T03:12:47+00:00,6.6602118015289,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block1,,3,2,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,6345,sitting,100,2817,3926,1,1,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,6,2021-03-02T03:12:54+00:00,7.5145401954651,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block1,,4,3,Video,7,,,,OFF,2,,7004,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,7,2021-03-02T03:13:03+00:00,8.4196608066559,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block1,,4,3,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,8077,squatting,100,1230,3203,1,1,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,8,2021-03-02T03:13:10+00:00,7.5134341716766,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block1,,2,4,Video,7,,,,OFF,3,,7002,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,9,2021-03-02T03:13:18+00:00,7.3701889514923,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block1,,2,4,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,3,,6946,jumping,70,2311,5193,0,0,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,10,2021-03-02T03:13:25+00:00,7.5363309383392,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block1,,6,5,Video,7,,,,OFF,4,,7002,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,11,2021-03-02T03:13:30+00:00,4.4158980846405,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block1,,6,5,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,4,,4027,skipping,40,1271,2700,0,0,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,12,2021-03-02T03:13:37+00:00,7.5135960578918,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block1,,1,6,Video,7,,,,OFF,5,,7001,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,13,2021-03-02T03:13:43+00:00,5.6301109790802,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block1,,1,6,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,5,,5303,jumping,100,960,2545,1,1,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,14,2021-03-02T03:13:50+00:00,7.527694940567,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block1,,5,7,Video,7,,,,OFF,6,,7001,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,15,2021-03-02T03:13:56+00:00,6.0919349193573,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block1,,5,7,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,6,,5761,running,40,2202,3168,0,0,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,16,2021-03-02T03:14:04+00:00,7.5018579959869,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block2,,10,8,Video,7,,,,OFF,1,,7003,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,17,2021-03-02T03:14:10+00:00,5.9952161312103,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block2,,10,8,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,5583,squatting,100,1036,3000,1,1,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,18,2021-03-02T03:14:17+00:00,7.5258069038391,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block2,,9,9,Video,7,,,,OFF,2,,7002,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,19,2021-03-02T03:14:21+00:00,3.8482360839844,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block2,,9,9,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,3447,sitting,100,607,1675,1,1,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,20,2021-03-02T03:14:29+00:00,7.4222009181976,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block2,,12,10,Video,7,,,,OFF,3,,7001,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,21,2021-03-02T03:14:33+00:00,4.3007380962372,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block2,,12,10,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,3,,3914,skipping,40,756,2207,0,0,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,22,2021-03-02T03:14:40+00:00,7.4732389450073,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block2,,11,11,Video,7,,,,OFF,4,,7002,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,23,2021-03-02T03:14:44+00:00,3.6278650760651,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block2,,11,11,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,4,,3221,skipping,100,473,2181,1,1,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,24,2021-03-02T03:14:52+00:00,7.5097239017487,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block2,,8,12,Video,7,,,,OFF,5,,7003,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,25,2021-03-02T03:14:56+00:00,4.4608280658722,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block2,,8,12,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,5,,4041,jumping,70,394,1768,0,0,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,26,2021-03-02T03:15:03+00:00,7.4124429225922,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block2,,7,13,Video,7,,,,OFF,6,,7003,,,-1,-1,,,,1
10063255,pvk4etu7ki,"Detecting Actions_1",1,27,2021-03-02T03:15:10+00:00,6.5326919555664,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block2,,7,13,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,6,,5640,jumping,100,787,4151,1,1,,1
