Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Shuffle 2",Procedure*Settings,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
W785427,0dal1uzq8e,"Detecting Actions_1",1,1,2021-02-24T04:41:29+00:00,14.073262214661,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,-,10,"In this study, you will be asked to watch a series of short videos (approximately 5 seconds each). Each video will show a first-person perspective of an actor performing various actions. Please focus on the movement of the image because you will be asked to determine what the person is doing.",Initial_Instruct,Instruct1,,,13831,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,2,2021-02-24T04:41:38+00:00,8.8240230083466,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,-,8,"After each video you will be presented with a text box to type your answer. Please be as specific as possible but do not answer in more than TWO words.",,Instruct14,,,8598,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,3,2021-02-24T04:41:55+00:00,17.273372888565,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,User,-,"When you are ready to view the first video, please Press Next. Note that the videos will play as soon as you move to the next screen. You will be automatically advanced to the next screen upon conclusion of the video. You will not be able to replay the videos.",,Instruct16,,,14217,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,4,2021-02-24T04:42:03+00:00,7.3748679161072,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block1,,5,2,Video,7,,,,OFF,1,,7004,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,5,2021-02-24T04:42:12+00:00,9.7443261146545,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block1,,5,2,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,9513,"walking ",53.333333333333,4689,5840,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,6,2021-02-24T04:42:20+00:00,7.2991309165955,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block1,,1,3,Video,7,,,,OFF,2,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,7,2021-02-24T04:42:36+00:00,16.217082977295,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block1,,1,3,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,15975,"jumping jacks",70,11412,14092,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,8,2021-02-24T04:42:43+00:00,7.4507551193237,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block1,,2,4,Video,7,,,,OFF,3,,7007,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,9,2021-02-24T04:42:51+00:00,7.6572349071503,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block1,,2,4,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,3,,7279,"jumping jacks",100,1522,4627,1,1,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,10,2021-02-24T04:42:58+00:00,7.3289639949799,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block1,,3,5,Video,7,,,,OFF,4,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,11,2021-02-24T04:43:10+00:00,11.607995033264,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block1,,3,5,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,4,,11355,"sit down",53.333333333333,2424,9795,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,12,2021-02-24T04:43:17+00:00,7.299516916275,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block1,,6,6,Video,7,,,,OFF,5,,7008,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,13,2021-02-24T04:43:22+00:00,4.7520711421967,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block1,,6,6,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,5,,4520,run,20,2136,2435,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,14,2021-02-24T04:43:29+00:00,7.3600270748138,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block1,,4,7,Video,7,,,,OFF,6,,7003,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,15,2021-02-24T04:43:38+00:00,8.9063107967377,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block1,,4,7,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,6,,8627,"sit down",35.294117647059,1437,5053,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,16,2021-02-24T04:43:46+00:00,7.4658231735229,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block2,,8,8,Video,7,,,,OFF,1,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,17,2021-02-24T04:43:52+00:00,6.7253549098969,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block2,,8,8,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,6472,"jumping jacks",100,1312,3975,1,1,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,18,2021-02-24T04:44:00+00:00,7.2779619693756,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block2,,10,9,Video,7,,,,OFF,2,,7007,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,19,2021-02-24T04:44:06+00:00,6.2823629379272,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block2,,10,9,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,6015,"sit down",35.294117647059,1589,4103,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,20,2021-02-24T04:44:13+00:00,7.2561280727386,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block2,,9,10,Video,7,,,,OFF,3,,7005,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,21,2021-02-24T04:44:29+00:00,16.042836904526,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block2,,9,10,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,3,,15331,squat,33.333333333333,12616,13497,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,22,2021-02-24T04:44:37+00:00,7.3504512310028,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block2,,7,11,Video,7,,,,OFF,4,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,23,2021-02-24T04:44:41+00:00,3.9986138343811,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block2,,7,11,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,4,,3767,squat,16.666666666667,1355,2122,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,24,2021-02-24T04:44:48+00:00,7.2495491504669,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block2,,12,12,Video,7,,,,OFF,5,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,25,2021-02-24T04:44:55+00:00,7.0036327838898,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block2,,12,12,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,5,,6780,skipping,40,3209,4812,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,26,2021-02-24T04:45:02+00:00,7.260852098465,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block2,,11,13,Video,7,,,,OFF,6,,7006,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,27,2021-02-24T04:45:24+00:00,22.21751999855,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block2,,11,13,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,6,,21958,run,18.181818181818,18961,19400,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,28,2021-02-24T04:45:32+00:00,7.2736270427704,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block3,,18,14,Video,7,,,,OFF,1,,7007,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,29,2021-02-24T04:45:38+00:00,6.0449180603027,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block3,,18,14,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,5802,skipping,40,1315,3934,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,30,2021-02-24T04:45:45+00:00,7.2448868751526,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block3,,14,15,Video,7,,,,OFF,2,,7007,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,31,2021-02-24T04:45:51+00:00,5.8899400234222,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block3,,14,15,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,5646,"jumping jacks",100,1430,3973,1,1,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,32,2021-02-24T04:45:58+00:00,7.2547919750214,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block3,,15,16,Video,7,,,,OFF,3,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,33,2021-02-24T04:46:03+00:00,4.461709022522,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block3,,15,16,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,3,,4237,"sit down",53.333333333333,1243,2500,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,34,2021-02-24T04:46:10+00:00,7.2764270305634,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block3,,17,17,Video,7,,,,OFF,4,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,35,2021-02-24T04:46:19+00:00,9.2205119132996,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block3,,17,17,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,4,,8996,skipping,100,6248,7613,1,1,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,36,2021-02-24T04:46:26+00:00,7.3066120147705,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block3,,16,18,Video,7,,,,OFF,5,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,37,2021-02-24T04:46:32+00:00,5.2787511348724,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block3,,16,18,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,5,,5046,"sit down",35.294117647059,1896,3107,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,38,2021-02-24T04:46:39+00:00,7.2587189674377,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block3,,13,19,Video,7,,,,OFF,6,,7005,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,39,2021-02-24T04:46:44+00:00,5.0582549571991,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block3,,13,19,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,6,,4704,squat,16.666666666667,2002,2703,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,40,2021-02-24T04:46:51+00:00,7.339056968689,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block4,,24,20,Video,7,,,,OFF,1,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,41,2021-02-24T04:46:57+00:00,5.5645380020142,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block4,,24,20,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,5311,skipping,40,1632,3004,0,0,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,42,2021-02-24T04:47:04+00:00,7.3344020843506,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block4,,20,21,Video,7,,,,OFF,2,,7002,,,-1,-1,,,,1
W785427,0dal1uzq8e,"Detecting Actions_1",1,43,2021-02-24T04:47:11+00:00,6.3974759578705,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block4,,20,21,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,6002,"jumping jacks",100,1672,4169,1,1,,1
