Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,"Procedure*Shuffle 2",Procedure*Settings,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,1,2021-02-25T18:43:11+00:00,19.613687992096,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,-,10,"In this study, you will be asked to watch a series of short videos (approximately 5 seconds each). Each video will show a first-person perspective of an actor performing various actions. Please focus on the movement of the image because you will be asked to determine what the person is doing.",Initial_Instruct,Instruct1,,,19326,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,2,2021-02-25T18:43:27+00:00,15.820886135101,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,-,8,"After each video you will be presented with a text box to type your answer. Please be as specific as possible but do not answer in more than TWO words.",,Instruct14,,,15577,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,3,2021-02-25T18:43:34+00:00,7.225487947464,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,,,,,,0,Instruct,User,-,"When you are ready to view the first video, please Press Next. Note that the videos will play as soon as you move to the next screen. You will be automatically advanced to the next screen upon conclusion of the video. You will not be able to replay the videos.",,Instruct16,,,6979,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,4,2021-02-25T18:43:42+00:00,7.3368430137634,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block1,,3,2,Video,7,,,,OFF,1,,7004,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,5,2021-02-25T18:44:02+00:00,20.023546934128,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Sit.mp4,Sitting,Block1,,3,2,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,1,,19237,Sitting,100,13733,17061,1,1,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,6,2021-02-25T18:44:09+00:00,7.3023309707642,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block1,,5,3,Video,7,,,,OFF,2,,7003,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,7,2021-02-25T18:44:14+00:00,5.6511080265045,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Skip.mp4,Skipping,Block1,,5,3,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,2,,5410,skipping,100,1643,3353,1,1,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,8,2021-02-25T18:44:22+00:00,7.3388741016388,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block1,,6,4,Video,7,,,,OFF,3,,7006,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,9,2021-02-25T18:44:26+00:00,4.1465978622437,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jog.mp4,Jogging,Block1,,6,4,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,3,,3899,jogging,100,1322,2552,1,1,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,10,2021-02-25T18:44:33+00:00,7.3614790439606,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block1,,2,5,Video,7,,,,OFF,4,,7004,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,11,2021-02-25T18:50:58+00:00,385.1149699688,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_JJacks.mp4,"Jumping Jacks",Block1,,2,5,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,4,,384400,jog,25,381842,382390,0,0,,0.348
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,12,2021-02-25T18:51:10+00:00,11.539574146271,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block1,,1,6,Video,7,,,,OFF,5,,7006,,,-1,-1,,,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,13,2021-02-25T18:51:24+00:00,13.515601873398,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Jump.mp4,Jumping,Block1,,1,6,FreeRecall,User,,"What is the person doing in the video you just watched? (No more than two words)",,OFF,5,,13313,squat,16.666666666667,9658,11307,0,0,,1
testlabmeet,db0h7f0bgh,"Detecting Actions_1",1,14,2021-02-25T18:51:31+00:00,7.3061909675598,1,versionA_stim.csv,ActionProcedureEx1.csv,"Experiment 1 videos",,Video/Animotica_F_Squat.mp4,Squatting,Block1,,4,7,Video,7,,,,OFF,6,,7005,,,-1,-1,,,,1
