Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Shuffle 2,Settings
0,Instruct,-,10,"In this study, you will be asked to watch a series of short videos (approximately 5 seconds each). Each video will show a first-person perspective of an actor performing various actions.  Please focus on the movement of the image because you will be asked to determine what the person is doing. ",Initial_Instruct,Instruct1,,
0,Instruct,-,8,After each video you will be presented with a text box to type your answer. Please be as specific as possible but do not answer in more than TWO words.,,Instruct14,,
0,Instruct,User,-,"When you are ready to view the first video, please Press Next.  Note that the videos will play as soon as you move to the next screen. You will be automatically advanced to the next screen upon conclusion of the video. You will not be able to replay the videos. ",,Instruct16,,
2,Video,7,,,,OFF,1,
2,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,1,
3,Video,7,,,,OFF,2,
3,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,2,
4,Video,7,,,,OFF,3,
4,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,3,
5,Video,7,,,,OFF,4,
5,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,4,
6,Video,7,,,,OFF,5,
6,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,5,
7,Video,7,,,,OFF,6,
7,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,6,
8,Video,7,,,,OFF,1,
8,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,1,
9,Video,7,,,,OFF,2,
9,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,2,
10,Video,7,,,,OFF,3,
10,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,3,
11,Video,7,,,,OFF,4,
11,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,4,
12,Video,7,,,,OFF,5,
12,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,5,
13,Video,7,,,,OFF,6,
13,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,6,
14,Video,7,,,,OFF,1,
14,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,1,
15,Video,7,,,,OFF,2,
15,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,2,
16,Video,7,,,,OFF,3,
16,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,3,
17,Video,7,,,,OFF,4,
17,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,4,
18,Video,7,,,,OFF,5,
18,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,5,
19,Video,7,,,,OFF,6,
19,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,6,
20,Video,7,,,,OFF,1,
20,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,1,
21,Video,7,,,,OFF,2,
21,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,2,
22,Video,7,,,,OFF,3,
22,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,3,
23,Video,7,,,,OFF,4,
23,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,4,
24,Video,7,,,,OFF,5,
24,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,5,
25,Video,7,,,,OFF,6,
25,FreeRecall,User,,What is the person doing in the video you just watched? (No more than two words),,OFF,6,
